
******本文件为VBC程序读取桥梁、轨道模态信息的文件，格式与MIDAS软件模态表格样式类似******

     模态号      圆频率                    频率                    周期
        41        22     -3.034796E-16     -6.210761E-04     -5.216062E-17      3.286443E-16     -1.213350E-16      7.003033E-05	
        42        22     -3.468338E-16     -5.103014E-04      6.474612E-17      3.185919E-16     -1.182762E-16      1.487820E-04	
        43        22     -3.564040E-16     -3.303310E-04      1.696294E-16      2.098590E-16     -1.057138E-16      2.071512E-04	
        44        22     -3.553890E-16     -1.049404E-04      2.503481E-16      8.922384E-17     -7.631912E-17      2.387989E-04	
        45        22     -3.305417E-16      1.372185E-04      3.016053E-16     -6.060675E-17     -4.093982E-17      2.404200E-04	
        46        22     -3.111991E-16      3.659120E-04      3.058454E-16     -1.562855E-16      1.543770E-17      2.121968E-04	
        47        22     -3.154980E-16      5.528583E-04      2.568343E-16     -2.180845E-16      7.161680E-17      1.578167E-04	
        48        22     -3.345319E-16      6.750603E-04      1.760438E-16     -3.324361E-16      8.903358E-17      8.405878E-05	
        49        22     -3.380990E-16      7.175285E-04      8.576846E-17     -2.697248E-16      8.339691E-17     -6.545084E-17	
        50        22     -3.026647E-16      6.750603E-04      1.018181E-17     -3.015106E-16      7.425745E-17     -8.405878E-05	
        51        22     -2.648626E-16      5.528583E-04     -5.032240E-17     -1.973734E-16      3.227975E-17     -1.578167E-04	
        52        22     -2.226178E-16      3.659120E-04     -9.048653E-17     -1.314674E-16      3.212851E-17     -2.121968E-04	
        53        22     -1.786444E-16      1.372185E-04     -1.271033E-16      9.486905E-17      4.254151E-17     -2.404200E-04	
        54        22     -1.280398E-16     -1.049404E-04     -1.646771E-16      1.768220E-16      4.134015E-17     -2.387989E-04	
        55        22     -6.382470E-17     -3.303310E-04     -1.819526E-16      3.241705E-16      5.207990E-18     -2.071512E-04	
        56        22      1.739912E-17     -5.103014E-04     -1.588866E-16      3.553599E-16     -2.763385E-17     -1.487820E-04	
        57        22      9.974410E-17     -6.210761E-04     -1.194047E-16      3.341654E-16     -4.722247E-17     -7.003033E-05	
        58        22      1.568161E-16     -6.464007E-04     -8.979108E-17      2.402548E-16     -3.015810E-17      2.056915E-05	
        59        22      1.903315E-16     -5.791908E-04     -7.763366E-17      2.230133E-16     -4.179259E-20      1.134174E-04	
        60        22      2.301550E-16     -4.219554E-04     -8.855546E-17      7.424170E-17      2.172389E-17      1.991495E-04	
        61        22      2.689200E-16     -1.858972E-04     -1.189532E-16     -6.682490E-17      4.892831E-17      2.699585E-04	
        62        22      3.195351E-16      1.112659E-04     -1.694781E-16     -2.512034E-16      6.648063E-17      3.208068E-04	
        63        22      3.698323E-16      4.485841E-04     -2.429502E-16     -4.466623E-16      8.560232E-17      3.504071E-04	
        64        22      4.162936E-16      8.059893E-04     -3.455007E-16     -4.116734E-16      1.124955E-16      3.618946E-04	
        65        22      4.294886E-16      1.168914E-03     -4.673075E-16     -3.709657E-16      1.176697E-16      3.631652E-04	
         1        23      0.000000E+00      0.000000E+00     -6.764833E-11      0.000000E+00      0.000000E+00      0.000000E+00	
         2        23     -1.200777E-16      2.230336E-17      3.347453E-05      6.383779E-05     -1.435175E-16      1.624550E-16	
         3        23     -1.678640E-16     -1.420734E-16      1.213651E-04      1.087599E-04     -1.181196E-16     -1.264589E-16	
         4        23      9.038570E-17     -4.961809E-16      2.446276E-04      1.346034E-04      2.276968E-16     -3.154813E-16	
         5        23      3.530579E-16     -9.088354E-16      3.843638E-04      1.418478E-04      3.281662E-16     -8.822459E-17	
         6        23      1.871881E-16     -1.160445E-15      5.225229E-04      1.317173E-04      3.535226E-16      3.677987E-16	
         7        23     -2.294144E-16     -1.154914E-15      6.426612E-04      1.061987E-04      5.498803E-16      3.605268E-16	
         8        23     -3.314515E-16     -1.011674E-15      7.306803E-04      6.797912E-05      2.963537E-16     -1.974519E-16	
         9        23      4.696970E-17     -9.217289E-16      7.754664E-04      2.031322E-05     -2.535864E-16     -4.633207E-16	
        10        23      3.662340E-16     -9.760535E-16      7.693668E-04     -3.316751E-05     -1.192335E-16     -5.364404E-17	
        11        23      2.046753E-16     -1.135037E-15      7.084525E-04     -8.868895E-05      4.304304E-17      4.025989E-16	
        12        23     -1.704732E-16     -1.332513E-15      5.925321E-04     -1.425938E-04     -9.423013E-17      3.163854E-16	
        13        23     -3.017012E-16     -1.445426E-15      4.249022E-04     -1.916082E-04     -2.070695E-16     -6.819698E-17	
        14        23     -1.595983E-16     -1.478587E-15      2.118336E-04     -2.330980E-04     -4.241898E-17     -2.010133E-16	
        15        23     -1.665390E-17     -1.462546E-15     -3.818553E-05     -2.652984E-04     -6.276112E-17     -7.864811E-17	
        16        23      9.449398E-18     -1.411979E-15     -3.154179E-04     -2.875032E-04     -3.394246E-16     -1.197517E-18	
        17        23      0.000000E+00      0.000000E+00     -6.764833E-11      0.000000E+00      0.000000E+00      0.000000E+00	
        18        23     -3.992277E-18     -8.684207E-17      3.347453E-05      6.383779E-05      2.739651E-16      2.913566E-17	
        19        23     -7.285547E-17     -3.013441E-16      1.213651E-04      1.087599E-04      5.835650E-17      1.230981E-16	
        20        23     -2.705236E-16     -6.483074E-16      2.446276E-04      1.346034E-04     -4.246024E-16      2.600280E-16	
        21        23     -5.007503E-16     -9.659170E-16      3.843638E-04      1.418478E-04     -2.826150E-16      1.883316E-16	
        22        23     -5.535802E-16     -1.100260E-15      5.225229E-04      1.317173E-04     -8.391206E-20     -7.801942E-17	
        23        23     -3.629192E-16     -9.977741E-16      6.426612E-04      1.061987E-04     -1.985105E-16     -2.963141E-16	
        24        23     -7.100744E-17     -7.467902E-16      7.306803E-04      6.797912E-05     -9.478443E-17     -2.656061E-16	
        25        23      1.577469E-16     -5.043544E-16      7.754664E-04      2.031322E-05      2.029505E-18     -1.744546E-16	
        26        23      3.241675E-16     -4.515473E-16      7.693668E-04     -3.316751E-05     -1.687627E-16     -1.166314E-16	
        27        23      4.368601E-16     -6.151543E-16      7.084525E-04     -8.868895E-05     -6.277674E-17     -7.019269E-17	
        28        23      4.443498E-16     -8.994924E-16      5.925321E-04     -1.425938E-04      3.104531E-16      9.285118E-17	
        29        23      2.702915E-16     -1.116306E-15      4.249022E-04     -1.916082E-04      3.611268E-16      2.507657E-16	
        30        23     -1.403976E-17     -1.150319E-15      2.118336E-04     -2.330980E-04     -1.805258E-16      2.819403E-16	
        31        23     -3.432921E-16     -9.962355E-16     -3.818553E-05     -2.652984E-04     -8.405763E-17      3.684067E-16	
        32        23     -6.944626E-16     -8.031768E-16     -3.154179E-04     -2.875032E-04      3.606189E-16      3.600699E-16	
        33        23      9.449398E-18     -1.411979E-15     -3.154179E-04     -2.875032E-04     -2.058568E-05      4.939040E-16	
        34        23      2.024683E-17     -9.323613E-16     -2.945427E-04     -3.162008E-04     -2.143198E-05      3.961932E-16	
        35        23      1.561100E-16     -6.010540E-16     -2.721080E-04     -2.900546E-04     -2.361652E-05      3.016719E-16	
        36        23      3.799435E-16     -2.456167E-16     -2.470369E-04     -2.135993E-04     -2.662007E-05      4.444841E-16	
        37        23      4.860303E-16      2.551799E-16     -2.187595E-04     -1.000960E-04     -2.995000E-05      5.372770E-16	
        38        23      3.670143E-16      7.008566E-16     -1.871796E-04      3.076866E-05     -3.315354E-05      3.208420E-16	
        39        23      8.190172E-17      8.365814E-16     -1.526285E-04      1.562966E-04     -3.583103E-05     -4.707602E-17	
        40        23     -1.763645E-16      6.961596E-16     -1.158053E-04      2.547154E-04     -3.764797E-05     -2.057771E-16	
        41        23     -3.229266E-16      5.266048E-16     -7.770673E-05      3.089547E-04     -3.834518E-05     -1.466782E-16	
        42        23     -3.337945E-16      4.424206E-16     -3.954796E-05      3.096068E-04     -3.774616E-05     -8.013570E-17	
        43        23     -2.172229E-16      3.934471E-16     -2.677347E-06      2.565587E-04     -3.576124E-05     -7.341833E-17	
        44        23     -1.059207E-17      2.735178E-16      3.151083E-05      1.590114E-04     -3.238806E-05     -1.646088E-16	
        45        23      2.112981E-16      4.417064E-17      6.166235E-05      3.388407E-05     -2.770818E-05     -2.970115E-16	
        46        23      3.341990E-16     -2.614653E-16      8.654371E-05     -9.712032E-05     -2.188006E-05     -3.111263E-16	
        47        23      2.854257E-16     -5.683056E-16      1.051140E-04     -2.112795E-04     -1.512837E-05     -2.867507E-16	
        48        23      8.128203E-17     -8.208639E-16      1.165846E-04     -2.887930E-04     -7.730425E-06     -2.521790E-16	
        49        23     -1.241837E-16     -9.935122E-16      1.204638E-04     -3.162163E-04      7.593474E-17     -1.039664E-16	
        50        23     -2.280516E-16     -9.864861E-16      1.165846E-04     -2.887930E-04      7.730425E-06      9.612585E-17	
        51        23     -2.168364E-16     -7.547908E-16      1.051140E-04     -2.112795E-04      1.512837E-05      3.452800E-16	
        52        23     -1.813807E-16     -3.696470E-16      8.654371E-05     -9.712032E-05      2.188006E-05      3.871644E-16	
        53        23     -1.732197E-16     -4.824741E-17      6.166235E-05      3.388407E-05      2.770818E-05      2.409236E-16	
        54        23     -1.936076E-16      1.101925E-16      3.151083E-05      1.590114E-04      3.238806E-05      9.967613E-17	
        55        23     -1.809659E-16      2.176601E-16     -2.677347E-06      2.565587E-04      3.576124E-05      9.251254E-17	
        56        23     -1.112388E-16      3.756343E-16     -3.954796E-05      3.096068E-04      3.774616E-05      1.822880E-16	
        57        23     -1.688524E-17      6.099191E-16     -7.770673E-05      3.089547E-04      3.834518E-05      2.548519E-16	
        58        23      2.079258E-17      8.415886E-16     -1.158053E-04      2.547154E-04      3.764797E-05      1.315387E-16	
        59        23     -6.265039E-17      8.356271E-16     -1.526285E-04      1.562966E-04      3.583103E-05     -1.483726E-16	
        60        23     -1.433733E-16      6.033088E-16     -1.871796E-04      3.076866E-05      3.315354E-05     -2.969805E-16	
        61        23     -1.098017E-16      2.754944E-16     -2.187595E-04     -1.000960E-04      2.995000E-05     -3.176072E-16	
        62        23      2.097516E-17     -3.630182E-17     -2.470369E-04     -2.135993E-04      2.662007E-05     -2.910666E-16	
        63        23      1.673163E-16     -2.812249E-16     -2.721080E-04     -2.900546E-04      2.361652E-05     -2.231274E-16	
        64        23      2.749965E-16     -5.011606E-16     -2.945427E-04     -3.162008E-04      2.143198E-05     -2.679251E-16	
        65        23      3.199904E-16     -8.031768E-16     -3.154179E-04     -2.875032E-04      2.058568E-05     -3.603903E-16	
         1        24      0.000000E+00      0.000000E+00      6.190508E-11      0.000000E+00      0.000000E+00      0.000000E+00	
         2        24      2.343387E-16     -1.696759E-16     -3.903138E-05     -7.414550E-05     -1.360844E-16     -2.909184E-16	
         3        24      4.344012E-16      4.113904E-17     -1.403184E-04     -1.243989E-04      8.666617E-17      5.119127E-17	
         4        24      1.910910E-16      4.191452E-16     -2.797761E-04     -1.505282E-04     -7.016665E-17      3.384631E-16	
         5        24      1.923420E-16      5.604601E-16     -4.335885E-04     -1.533385E-04     -1.951511E-16     -3.263057E-16	
         6        24      6.561726E-16      3.330900E-16     -5.793268E-04     -1.348093E-04      1.026639E-16     -5.256685E-16	
         7        24      8.667376E-16      2.346507E-16     -6.971299E-04     -9.808293E-05     -3.803995E-16      1.167143E-16	
         8        24      3.788255E-16      3.308571E-16     -7.708041E-04     -4.731638E-05     -1.254902E-16      4.542296E-16	
         9        24     -6.515413E-17      6.194978E-16     -7.887135E-04      1.258425E-05      1.775404E-16      1.843257E-16	
        10        24     -4.815267E-17      9.165594E-16     -7.443578E-04      7.631883E-05     -2.233827E-16     -5.797738E-17	
        11        24      1.521455E-16      1.141280E-15     -6.365635E-04      1.386057E-04      1.402633E-16     -1.190474E-16	
        12        24      1.258841E-16      9.232640E-16     -4.692486E-04      1.946155E-04      2.234949E-16      1.042510E-16	
        13        24     -6.121430E-17      7.247920E-16     -2.507580E-04      2.403907E-04     -1.935125E-16     -2.152957E-17	
        14        24     -1.187110E-16      6.459006E-16      7.199442E-06      2.732174E-04      1.303922E-16     -1.066916E-16	
        15        24     -2.563498E-16      8.240320E-16      2.909501E-04      2.919223E-04      4.256723E-17      2.590382E-16	
        16        24     -4.826957E-16      9.787813E-16      5.865058E-04      2.970743E-04     -1.569790E-16      2.670784E-16	
        17        24      0.000000E+00      0.000000E+00     -6.190508E-11      0.000000E+00      0.000000E+00      0.000000E+00	
        18        24      1.431669E-17     -4.381352E-16      3.903138E-05      7.414550E-05      1.157021E-16     -8.588897E-17	
        19        24      5.572440E-19     -6.375919E-16      1.403184E-04      1.243989E-04     -4.077739E-18      9.370854E-17	
        20        24     -1.919288E-16     -6.256917E-16      2.797761E-04      1.505282E-04      9.233561E-18      3.084943E-16	
        21        24     -3.346253E-16     -2.886607E-16      4.335885E-04      1.533385E-04      5.230791E-17      7.068026E-17	
        22        24     -3.508154E-16      5.966698E-17      5.793268E-04      1.348093E-04      6.715031E-17     -1.523350E-16	
        23        24     -2.371471E-16      8.916905E-17      6.971299E-04      9.808293E-05      6.535855E-17     -2.877920E-16	
        24        24     -6.363612E-17     -1.268079E-16      7.708041E-04      4.731638E-05      7.019527E-17     -1.026070E-16	
        25        24     -8.509044E-17     -5.007253E-16      7.887135E-04     -1.258425E-05      2.522782E-17      1.791178E-17	
        26        24     -9.065408E-17     -9.184292E-16      7.443578E-04     -7.631883E-05      5.156158E-17     -1.652390E-17	
        27        24      3.988472E-17     -1.204699E-15      6.365635E-04     -1.386057E-04     -1.548551E-16     -3.530570E-16	
        28        24      2.613080E-16     -1.218247E-15      4.692486E-04     -1.946155E-04     -6.777852E-17     -1.195258E-16	
        29        24      1.963356E-16     -1.012607E-15      2.507580E-04     -2.403907E-04     -6.809011E-17      1.998878E-16	
        30        24     -2.469497E-18     -7.906882E-16     -7.199442E-06     -2.732174E-04      2.116546E-16      1.399831E-16	
        31        24     -1.043196E-16     -6.130528E-16     -2.909501E-04     -2.919223E-04     -1.940443E-17      2.542302E-17	
        32        24      8.068198E-19     -5.216318E-16     -5.865058E-04     -2.970743E-04     -1.670143E-16     -2.570685E-16	
        33        24     -4.826957E-16      9.787813E-16      5.865058E-04      2.970743E-04      1.229282E-04     -1.051414E-15	
        34        24     -3.985333E-16      1.836781E-17      4.637141E-04      2.591844E-04      1.224669E-04     -8.773929E-16	
        35        24     -3.117048E-16     -6.188283E-16      3.421352E-04      1.604136E-04      1.203268E-04     -5.023742E-16	
        36        24     -1.081730E-16     -9.334920E-16      2.239202E-04      2.396259E-05      1.156189E-04     -1.428452E-16	
        37        24     -8.415342E-17     -9.655814E-16      1.119404E-04     -1.181171E-04      1.077932E-04     -1.926559E-18	
        38        24     -1.481185E-16     -9.340128E-16      9.446673E-06     -2.324517E-04      9.663969E-05      2.291312E-16	
        39        24     -2.246670E-16     -5.570680E-16     -8.026523E-05     -2.921849E-04      8.227494E-05      4.231371E-16	
        40        24      8.240027E-17     -8.127278E-17     -1.541682E-04     -2.832856E-04      6.511376E-05      4.768087E-16	
        41        24      4.285137E-16      4.054961E-16     -2.097817E-04     -2.078442E-04      4.582607E-05      3.644464E-16	
        42        24      4.438444E-16      7.300879E-16     -2.454000E-04     -8.358142E-05      2.528181E-05     -7.258131E-17	
        43        24      1.153351E-16      5.952937E-16     -2.602608E-04      6.031410E-05      4.486202E-06     -2.285222E-16	
        44        24     -3.998206E-16      4.614570E-16     -2.546453E-04      1.900422E-04     -1.549095E-05     -5.440643E-17	
        45        24     -5.021123E-16      4.581423E-16     -2.299065E-04      2.751305E-04     -3.358801E-05     -1.366658E-16	
        46        24     -1.029747E-16      4.227726E-16     -1.884252E-04      2.955924E-04     -4.882217E-05     -2.501362E-17	
        47        24      2.995848E-16      3.665263E-16     -1.334985E-04      2.466213E-04     -6.035394E-05     -1.109909E-16	
        48        24      1.176240E-16      1.284635E-16     -6.916796E-05      1.397204E-04     -6.754176E-05     -4.556910E-16	
        49        24     -4.553963E-16     -1.949947E-16     -1.050804E-16     -2.708184E-17     -6.998337E-05     -2.484987E-16	
        50        24     -7.853881E-16     -3.214184E-16      6.916796E-05     -1.397204E-04     -6.754176E-05     -1.163928E-16	
        51        24     -4.667638E-16     -3.358226E-16      1.334985E-04     -2.466213E-04     -6.035394E-05      1.195608E-16	
        52        24      1.654604E-16     -2.596728E-16      1.884252E-04     -2.955924E-04     -4.882217E-05     -4.758781E-17	
        53        24      4.347037E-16     -4.686225E-16      2.299065E-04     -2.751305E-04     -3.358801E-05     -1.910972E-16	
        54        24      1.380738E-16     -6.227336E-16      2.546453E-04     -1.900422E-04     -1.549095E-05     -2.401421E-17	
        55        24     -1.797877E-16     -4.250923E-16      2.602608E-04     -6.031410E-05      4.486202E-06      2.059553E-16	
        56        24     -1.364604E-16     -2.108711E-16      2.454000E-04      8.358142E-05      2.528181E-05      6.735518E-17	
        57        24      1.100454E-16     -1.777122E-16      2.097817E-04      2.078442E-04      4.582607E-05      7.687086E-17	
        58        24      2.704237E-16      1.438999E-16      1.541682E-04      2.832856E-04      6.511376E-05      3.732916E-16	
        59        24      1.888778E-16      5.282561E-16      8.026523E-05      2.921849E-04      8.227494E-05      3.223957E-16	
        60        24      2.216882E-16      8.620950E-16     -9.446673E-06      2.324517E-04      9.663969E-05      1.845902E-16	
        61        24      3.704760E-16      8.431279E-16     -1.119404E-04      1.181171E-04      1.077932E-04     -2.581732E-16	
        62        24      5.116114E-16      3.806704E-16     -2.239202E-04     -2.396259E-05      1.156189E-04     -5.564572E-16	
        63        24      4.654061E-16      3.170253E-17     -3.421352E-04     -1.604136E-04      1.203268E-04     -1.162525E-16	
        64        24      2.035806E-16      1.617624E-17     -4.637141E-04     -2.591844E-04      1.224669E-04     -3.218526E-16	
        65        24      1.252512E-16     -5.216318E-16     -5.865058E-04     -2.970743E-04      1.229282E-04     -8.603993E-16	
         1        25      0.000000E+00      0.000000E+00      3.131481E-19      0.000000E+00      0.000000E+00      0.000000E+00	
         2        25      2.195619E-04      2.882958E-16      9.209664E-16      1.764135E-15     -2.865087E-15     -4.000768E-04	
         3        25      7.222684E-04      4.958377E-16      3.329408E-15      2.976533E-15     -6.049746E-15     -5.671957E-04	
         4        25      1.281829E-03      5.824471E-16      6.670365E-15      3.611951E-15     -8.813317E-15     -5.188732E-04	
         5        25      1.702677E-03      6.416631E-16      1.036559E-14      3.686099E-15     -1.042101E-14     -2.993758E-04	
         6        25      1.846186E-03      7.213708E-16      1.383538E-14      3.193627E-15     -1.089140E-14      2.282066E-05	
         7        25      1.650305E-03      8.160639E-16      1.656301E-14      2.212805E-15     -1.040880E-14      3.652322E-04	
         8        25      1.136403E-03      9.156921E-16      1.815628E-14      9.163136E-16     -8.942680E-15      6.461599E-04	
         9        25      4.005641E-04      9.855366E-16      1.834082E-14     -5.614990E-16     -6.442852E-15      8.003506E-04	
        10        25     -4.096470E-04      9.825969E-16      1.707498E-14     -1.977662E-15     -3.366482E-15      7.918279E-04	
        11        25     -1.128559E-03      9.515770E-16      1.446937E-14     -3.185946E-15     -1.624871E-16      6.209362E-04	
        12        25     -1.609173E-03      8.761602E-16      1.079166E-14     -4.108835E-15      3.096319E-15      3.239679E-04	
        13        25     -1.755793E-03      8.119397E-16      6.349113E-15     -4.694085E-15      6.274902E-15     -3.460757E-05	
        14        25     -1.545818E-03      7.512527E-16      1.537644E-15     -4.876959E-15      8.928615E-15     -3.756615E-04	
        15        25     -1.036325E-03      6.994309E-16     -3.239247E-15     -4.620489E-15      1.067179E-14     -6.217415E-04	
        16        25     -3.543914E-04      6.499730E-16     -7.550383E-15     -3.945151E-15      1.121421E-14     -7.126309E-04	
        17        25      0.000000E+00      0.000000E+00      2.846760E-19      0.000000E+00      0.000000E+00      0.000000E+00	
        18        25      7.028315E-18      1.331684E-16      9.440265E-16      1.804847E-15      2.439918E-15     -9.737192E-18	
        19        25      3.985649E-17      2.359888E-16      3.364279E-15      2.927104E-15      4.401792E-15     -6.936960E-17	
        20        25      1.045917E-16      2.912530E-16      6.603247E-15      3.452180E-15      5.697564E-15     -8.926446E-17	
        21        25      1.926529E-16      3.257835E-16      1.009184E-14      3.432043E-15      6.710088E-15     -8.043912E-17	
        22        25      2.883454E-16      3.428712E-16      1.331373E-14      2.925741E-15      7.390930E-15     -6.847314E-17	
        23        25      3.174710E-16      3.777279E-16      1.583987E-14      2.044579E-15      7.195670E-15      1.112370E-17	
        24        25      2.087296E-16      4.142636E-16      1.733046E-14      8.989726E-16      6.027941E-15      1.833748E-16	
        25        25     -3.571694E-17      4.100888E-16      1.759335E-14     -3.889055E-16      4.338395E-15      2.868282E-16	
        26        25     -2.882451E-16      3.675705E-16      1.654773E-14     -1.698640E-15      2.434706E-15      2.083020E-16	
        27        25     -3.772243E-16      2.946637E-16      1.424254E-14     -2.885616E-15      1.879506E-16     -1.261730E-17	
        28        25     -2.575780E-16      2.019099E-16      1.086828E-14     -3.834168E-15     -2.301852E-15     -1.947754E-16	
        29        25     -2.386940E-17      1.241777E-16      6.657220E-15     -4.506019E-15     -4.357602E-15     -2.365187E-16	
        30        25      1.578719E-16      8.685727E-17      1.964452E-15     -4.803849E-15     -5.955339E-15     -1.072427E-16	
        31        25      1.714002E-16      1.173517E-16     -2.800869E-15     -4.637880E-15     -7.152926E-15      7.196260E-17	
        32        25      7.036792E-17      1.807111E-16     -7.155473E-15     -3.992097E-15     -7.601795E-15      1.141619E-16	
        33        25     -3.543914E-04      6.499730E-16     -7.550383E-15     -3.945151E-15      1.640241E-16     -5.097624E-16	
        34        25     -2.576885E-04      1.548617E-16     -7.699525E-15     -7.278833E-16      1.006088E-16     -5.045315E-16	
        35        25     -1.539946E-04     -3.026551E-16     -7.763061E-15      2.664158E-15     -4.036984E-18     -3.942763E-16	
        36        25     -4.612271E-05     -6.109122E-16     -7.682656E-15      5.238980E-15     -1.871840E-16     -1.929643E-16	
        37        25      6.300045E-05     -7.189772E-16     -7.376430E-15      6.854925E-15     -4.441621E-16     -2.276370E-17	
        38        25      1.704144E-04     -6.877967E-16     -6.796501E-15      5.993400E-15     -7.221959E-16      7.987793E-17	
        39        25      2.732050E-04     -6.089553E-16     -5.936993E-15      3.518623E-15     -9.950337E-16      6.436178E-17	
        40        25      3.685836E-04     -5.209472E-16     -4.830837E-15      4.637904E-16     -1.202508E-15      1.075096E-16	
        41        25      4.539625E-04     -3.863166E-16     -3.538080E-15     -2.844614E-15     -1.371526E-15      1.686369E-16	
        42        25      5.270255E-04     -1.751233E-16     -2.128653E-15     -5.559863E-15     -1.444109E-15      2.441708E-16	
        43        25      5.857902E-04      8.105613E-17     -6.820273E-16     -6.538466E-15     -1.454611E-15      2.499428E-16	
        44        25      6.286625E-04      3.249824E-16      7.378781E-16     -5.616909E-15     -1.400149E-15      2.315207E-16	
        45        25      6.544791E-04      5.465383E-16      2.065152E-15     -3.459555E-15     -1.257912E-15      2.176084E-16	
        46        25      6.625398E-04      7.375220E-16      3.210169E-15     -4.613297E-16     -1.039719E-15      1.585055E-16	
        47        25      6.526258E-04      8.461734E-16      4.097240E-15      3.155803E-15     -7.358661E-16      5.482898E-17	
        48        25      6.250061E-04      8.427178E-16      4.675003E-15      5.760655E-15     -4.139010E-16     -9.635207E-17	
        49        25      5.804299E-04      6.676087E-16      4.917970E-15      6.688060E-15     -7.120308E-17     -2.613231E-16	
        50        25      5.201068E-04      3.333626E-16      4.816252E-15      5.620259E-15      2.870167E-16     -3.882261E-16	
        51        25      4.456731E-04     -3.604070E-17      4.359467E-15      3.068599E-15      6.100684E-16     -3.382747E-16	
        52        25      3.591484E-04     -3.602541E-16      3.563370E-15     -1.288364E-16      9.581667E-16     -3.004858E-16	
        53        25      2.628799E-04     -6.018858E-16      2.443616E-15     -3.346641E-15      1.274106E-15     -1.889946E-16	
        54        25      1.594796E-04     -7.565481E-16      1.049439E-15     -5.911099E-15      1.512342E-15     -1.134507E-16	
        55        25      5.175251E-05     -8.128087E-16     -5.014809E-16     -6.591952E-15      1.584544E-15     -8.941007E-18	
        56        25     -5.737857E-05     -7.313643E-16     -2.066855E-15     -5.638406E-15      1.551187E-15      1.611711E-16	
        57        25     -1.649530E-04     -4.856790E-16     -3.565216E-15     -2.838834E-15      1.433238E-15      3.029121E-16	
        58        25     -2.680522E-04     -1.298833E-16     -4.940166E-15      6.349156E-16      1.275307E-15      3.901306E-16	
        59        25     -3.638792E-04      2.266551E-16     -6.115999E-15      3.912759E-15      1.059975E-15      3.182125E-16	
        60        25     -4.498341E-04      4.971445E-16     -7.032320E-15      5.998879E-15      7.642515E-16      2.257349E-16	
        61        25     -5.235851E-04      6.495685E-16     -7.629243E-15      6.270589E-15      4.375007E-16      8.515393E-17	
        62        25     -5.831312E-04      6.751320E-16     -7.888980E-15      5.188967E-15      1.037104E-16     -3.888149E-17	
        63        25     -6.268570E-04      5.838603E-16     -7.840139E-15      2.623676E-15     -1.828925E-16     -1.482499E-16	
        64        25     -6.535762E-04      4.044052E-16     -7.560004E-15     -7.988204E-16     -3.630472E-16     -2.048622E-16	
        65        25     -6.625639E-04      1.807111E-16     -7.155473E-15     -3.992097E-15     -4.337129E-16     -2.310831E-16	
         1        26      0.000000E+00      0.000000E+00     -5.888470E-11      0.000000E+00      0.000000E+00      0.000000E+00	
         2        26     -4.612567E-15     -1.025394E-16      4.337703E-05      8.231946E-05     -9.254028E-16      8.386104E-15	
         3        26     -1.516637E-14     -1.579642E-16      1.555886E-04      1.375222E-04     -1.624295E-15      1.195217E-14	
         4        26     -2.697561E-14     -1.298614E-16      3.092686E-04      1.653127E-04     -2.138905E-15      1.093227E-14	
         5        26     -3.584997E-14     -9.915250E-17      4.774178E-04      1.667665E-04     -2.480102E-15      6.294794E-15	
         6        26     -3.886582E-14     -1.023648E-16      6.348775E-04      1.444990E-04     -2.626456E-15     -4.927854E-16	
         7        26     -3.471970E-14     -1.185490E-16      7.598685E-04      1.026331E-04     -2.491319E-15     -7.709719E-15	
         8        26     -2.389859E-14     -1.591443E-16      8.354049E-04      4.658173E-05     -2.057321E-15     -1.357788E-14	
         9        26     -8.422431E-15     -1.901229E-16      8.504098E-04     -1.732143E-05     -1.535293E-15     -1.683240E-14	
        10        26      8.647448E-15     -1.692547E-16      8.004041E-04     -8.230160E-05     -7.958509E-16     -1.668874E-14	
        11        26      2.379394E-14     -1.595699E-16      6.876801E-04     -1.416827E-04      5.135162E-17     -1.307911E-14	
        12        26      3.389351E-14     -1.129113E-16      5.209284E-04     -1.894328E-04      9.237985E-16     -6.817711E-15	
        13        26      3.701591E-14     -8.440215E-17      3.143391E-04     -2.206610E-04      1.617026E-15      6.873569E-16	
        14        26      3.267088E-14     -7.138349E-17      8.625029E-05     -2.320183E-04      2.107489E-15      7.862417E-15	
        15        26      2.196094E-14     -6.047622E-17     -1.425381E-04     -2.219616E-04      2.400603E-15      1.313091E-14	
        16        26      7.515450E-15     -6.657389E-17     -3.506358E-04     -1.908553E-04      2.538228E-15      1.513530E-14	
        17        26      0.000000E+00      0.000000E+00     -5.888470E-11      0.000000E+00      0.000000E+00      0.000000E+00	
        18        26      1.470744E-18     -4.265186E-17      4.337703E-05      8.231946E-05      4.538746E-16     -4.974740E-18	
        19        26     -1.093810E-17     -7.807181E-17      1.555886E-04      1.375222E-04      9.678507E-16      4.560556E-17	
        20        26     -4.523978E-17     -1.103384E-16      3.092686E-04      1.653127E-04      1.455158E-15      4.298621E-17	
        21        26     -8.721187E-17     -1.453015E-16      4.774178E-04      1.667665E-04      1.640877E-15      3.476964E-17	
        22        26     -1.305241E-16     -1.525814E-16      6.348775E-04      1.444990E-04      1.597996E-15      1.307586E-17	
        23        26     -1.170670E-16     -1.536442E-16      7.598685E-04      1.026331E-04      1.491638E-15     -1.070488E-17	
        24        26     -6.199935E-17     -1.697334E-16      8.354049E-04      4.658173E-05      1.305801E-15     -8.050766E-17	
